author,project,description,star,link
rasbt,deeplearning-models,"A collection of various deep learning architectures, models, and tips",856,https://github.com/rasbt/deeplearning-models
TrillCyborg,onefraction,OneFraction App,827,https://github.com/TrillCyborg/onefraction
jackfrued,Python-100-Days,Python - 100天从新手到大师,305,https://github.com/jackfrued/Python-100-Days
jlevy,the-art-of-command-line,"Master the command line, in one page",331,https://github.com/jlevy/the-art-of-command-line
imhuster,Enterprise-Registration-Data-of-Chinese-Mainland,"中国大陆 31 个省份1978 年至 2019 年一千多万工商企业注册信息，包含企业名称、注册地址、统一社会信用代码、地区、注册日期、经营范围、法人代表、注册资金、企业类型等详细资料。This repository is an dataset of over 10,000,000 enterprise registration data of 31 provinces in Chinese mainland from 1978 to 2019.【工商大数据】、【企业信息】、【enterprise registration data】。",242,https://github.com/imhuster/Enterprise-Registration-Data-of-Chinese-Mainland
sfyc23,EverydayWechat,每日自动给女朋友发微信暖心话。,208,https://github.com/sfyc23/EverydayWechat
duke7553,files-uwp,"""More than just a rewrite of Windows Explorer""",212,https://github.com/duke7553/files-uwp
dylanaraps,pure-bash-bible,A collection of pure bash alternatives to external processes.,187,https://github.com/dylanaraps/pure-bash-bible
google-research,football,,177,https://github.com/google-research/football
pipe-dream,laravel,Create Laravel projects really fast,167,https://github.com/pipe-dream/laravel
microsoft,terminal,"The new Windows Terminal, and the original Windows console host -- all in the same place!",151,https://github.com/microsoft/terminal
CarGuo,GSYFlutterBook,Flutter完整开发实战详解系列，提供在线预览和pdf下载，本系列将完整讲述：如何快速从 0 开发一个完整的 Flutter APP，配套高完成度 Flutter 开源项目 GSYGithubAppFlutter ，同时会提供一些Flutter的开发细节技巧，之后深入源码和实战为你全面解析 Flutter 。,151,https://github.com/CarGuo/GSYFlutterBook
MisterBooo,LeetCodeAnimation,Demonstrate all the questions on LeetCode in the form of animation.（用动画的形式呈现解LeetCode题目的思路）,142,https://github.com/MisterBooo/LeetCodeAnimation
Snailclimb,JavaGuide,【Java学习+面试指南】 一份涵盖大部分Java程序员所需要掌握的核心知识。,132,https://github.com/Snailclimb/JavaGuide
dokun1,Vaux,A HTML DSL library for Swift,138,https://github.com/dokun1/Vaux
CyC2018,CS-Notes,Basic Knowledge of Technical Interview（技术面试必备基础知识、Leetcode 题解、后端面试、Java 面试、春招、秋招、操作系统、计算机网络、系统设计）,119,https://github.com/CyC2018/CS-Notes
entropic-dev,entropic,"a package registry for anything, but mostly javascript 🦝 🦝 🦝",114,https://github.com/entropic-dev/entropic
mathieudutour,medium-to-own-blog,Switch from Medium to your own blog in a few minutes,109,https://github.com/mathieudutour/medium-to-own-blog
TheAlgorithms,Python,All Algorithms implemented in Python,91,https://github.com/TheAlgorithms/Python
0voice,from_coder_to_expert,2019年最新总结，从程序员到CTO，从专业走向卓越，分享大牛企业内部pdf与PPT,89,https://github.com/0voice/from_coder_to_expert
v2ray,v2ray-core,A platform for building proxies to bypass network restrictions.,85,https://github.com/v2ray/v2ray-core
github,semantic,"Parsing, analyzing, and comparing source code across many languages",94,https://github.com/github/semantic
unixzii,SwiftUI-2048,A 2048 game writing with SwiftUI.,90,https://github.com/unixzii/SwiftUI-2048
system-ui,theme-ui,"Build consistent, themeable React UIs based on design system constraints and design tokens",89,https://github.com/system-ui/theme-ui
sveltejs,svelte,Cybernetically enhanced web apps,87,https://github.com/sveltejs/svelte
